title,label,record,style,release_date,comments,rating,description,URL
Takaaki Itoh ‎- Disciplinary Synthetics,Mord,MORD047,Techno,January 2018,Post a comment,3.6,"Takaaki Itoh's Disciplinary Synthetics EP has a nifty balance between new and old school sounds. There's the deep and psychedelic side of tracks like ""Wisher"" and ""Obliger,"" modern-sounding techno tunes that would hypnotise a dance floor. Then there's ""Anagrammer,"" a blistering weapon that couples the rawness of '90s UK techno with precision percussion and a well-sculpted low-end. It's no surprise that Itoh can blend eras and sounds so naturally: he's been producing for over 20 years.  The EP's highlight, ""Wisher,"" was picked up by plenty of DJs, and is among RA's most-charted tracks of January. A fairly standard but effective tool, its kick drum sets a steady pace among a collage of synths that whir and bleep. The sound will be familiar to followers of Northern Electronics and Semantica Records, labels that favour depth over immediacy. While the syncopated ""Obliger"" hovers in a similar zone, the stomping ""Anagrammer"" is more forceful, channelling golden-era Birmingham techno with its elastic lead synth. Funky and ice-cold, it recalls the intensity of early Regis tracks like ""Allies"" and ""Sand."" Thanks to a balance between old and new, Disciplinary Synthetics nails a timeless—albeit familiar—aesthetic.",https://www.residentadvisor.net/reviews/22229
Junes - Circuit Rift,Galdoors,GAL009,"Deep House, Minimal",February 2018,2,3.8,"Galdoors is among the best labels going for a particular type of club record: thumping but understated, with smooth and kinetic grooves, the kind of thing that's catnip for warm-up or afterhours. They've approached this sound a few different ways, at times drawing from the trippy end of the UK spectrum (Leif, Duckett, Elgato), at others going for a more minimal-minded style of deep house (Audio Werner). In his own records for the label, Junes, who runs Galdoors with his brother Tames, started in the first camp and gravitated toward the second, gradually homing in on a sleek, punchy and dreamlike style of house. He nails this sound more than ever on his latest 12-inch, Circuit Rift.  ""Circuit Rift"" and ""Awake"" are classic Junes, full of immaculate drums set to nimble rhythms within spacious, ethereal atmospheres. Here, though, the moods are richer and more evocative than on his past records. Ghostly, cinematic strings add depth and tension to the title track. Subtle drum rolls and cool-breeze synths give ""Awake"" an upbeat sense of clarity that suits its name. ""Brass Hand"" has sharper teeth, with a thwacking beat and sinister 16th-note chime melody. What really sells all three though is the tidiness of the drums. It's hard to beat the simple satisfaction of a crisp, well-placed clap.",https://www.residentadvisor.net/reviews/22151
Persuasion - Quatermass EP,Black Opal,BOP014,"Techno, House",January 2018,Post a comment,3.7,"Montreal's Devon Hansen has used a few names in his time. Persuasion replaces Stefan Jós, the alias under which his music took on dance floor shapes. The new project's debut EP, for Opal Tapes' vinyl wing, leads smoothly on from the 2015 Jós releases for Flau. It has the same twilit moods, the same woody percussion and the same teasing grooves, which use micro-detail to unsettle—rather than enhance—the flow. Hansen has streamlined this sound, where the tempo has snuck up into the 120s and the mixdowns have more air and depth. The reboot is particularly noticeable on the pacy ""Damask Silk."" If there was more boom to its kick drum and a bit more sizzle in the hi-end, it could be warehouse techno. Not that that's desirable; as it is the music hovers in a blurry between-space, soft but commanding.
 That track is dark and withdrawn, its eerie synths suggesting a musique concrète influence. Elsewhere Hansen permits sentimentality in the form of glimmering chords that skulk in the music's shadows. The effect is most striking on ""Xaviera,"" and the same technique is used with more restraint on ""In The Atrium"" and ""Quatermass."" The latter track might be the EP's weakest, thanks to slightly flatter drum programming and a mixdown that pumps uneasily with compression. This might prevent the track from speaking on a loud soundsystem, but it matches the mood—one of end-of-the-night redemption glimpsed but not yet grasped.",https://www.residentadvisor.net/reviews/22163
Various - ://about blank 003,://about blank,003,House,January 2018,1,3.5,"It would take a decent mathematician to calculate how many hours of house music is played at Berlin's ://about blank club each year. There are usually two DJs spinning at any given time, and many parties run all weekend. Whoever's behind the beloved club's in-house label has heard their fair share of great tunes, which might explain why the tracks they release are so good. The label has kept a low profile since launching with a double-EP in 2014, returning for only two outings since. ://about blank 003 collects three strong house tracks in the fun style you could expect to hear at the club, each with a dose of euphoric melody  ""Opal"" by Perel is the EP's spaciest track. Reaching for the sky with a soaring lead melody, it's the kind of retro arpeggio jam associated with, say, Roman Flügel. It's also a tune for big moments, something that DJs at ://about blank provide plenty of. With a rumbling low-end and heavy kick, the ""ZKB Taking The Bus Version"" of ""Hot Lies"" by the Austrian producer Egon Elliut is similarly ambitious, piling whistles and piano stabs onto a snaking acid line. Jessamine's ""More Love Later"" is a dreamier option, dazzling with delicate synths and soft breakdowns. Like the other tracks, drop it when the energy in the room is high.",https://www.residentadvisor.net/reviews/22209
HKE - Charming Devil,Dream Catalogue,DREAM137,"Pop, Rock, Hardvapour, Experimental",January 2018,1,4.0,"Last year David Russo said that due to his struggle with depression, he was relinquishing control of his label Dream Catalogue, but things didn't go to plan. It released four massive compilations and then went silent for months. In the last few weeks, the label shot back to life with five new releases, the most intriguing of which comes from Russo under his main alias, HKE. Charming Devil isn't a return to dreamy ambient or sleek techno—it's a dark and desperate descent into anger and self-hatred, expressed through explosive percussion and moody vocals.
 Last year Russo recorded a deflated cover of Puddle Of Mudd's ""Blurry,"" a move that seems prescient now. The first half of Charming Devil is made mostly from looping guitar leads and Russo's iffy but wrenchingly honest singing. He has a surprising knack for guitar riffs, which makes the shift in sound feel natural on tracks like ""William The Conqueror"" and ""Lobotomy."" Things get desperate on ""Mantra,"" where Russo chants ""I'm the devil"" over pounding hardvapour drums, while ""The Earth Is Covered In Blood"" is a fried noise-folk jam that sounds like it was painful to make.
 Charming Devil does open up after its searing beginning. ""No Sleep"" introduces a funky tabla groove, while ""Mini Sync"" sounds like it could be Tin Man on Livity Sound. Those two tracks are separated by ""Wolf,"" a brutal hardvapour jam with weary melodies that creak with pain. But through all these mood shifts and dour moments, Russo's skill for melody comes to the surface, revealing a new side to an already multi-faceted artist.",https://www.residentadvisor.net/reviews/22109
Lost Trax - The Saturnian System / The Sequel,Delsin,DSRX11,"Techno, Electro, Acid House",December 2017,2,3.7,"Delsin has a knack for releasing records from the past that sound like the present. These records tend to come from underrated figures, and the anonymous collective Lost Trax fits Delsin's intergalactic sound. The Saturnian System / The Sequel collects music that appeared on releases from 2006 and 2010, compiling four tracks that push the collective's signature aesthetic.
 There's a desolate sadness to the EP, where even the basslines on ""The Sequel"" and ""Self Destruct Sequence"" frown between tear-jerking chords. The Saturnian System / The Sequel showcases the group's self-described ""emotional music, straight from the heart"" with panoramic techno that dives into the deepest depths of acid and electro. Drum machine hits crunch and snap into loud, rolling waves, foregrounding the subtle warmth of idyllic pads and intricate 303 sequences. Following the afterhours groove of the Reflections EP on Emotions Electric, this is a lovely retrospective of Lost Trax's earliest releases.",https://www.residentadvisor.net/reviews/22152
Marcellus Pittman ‎- Revenge For Nothing / Red Dogon Star,Unirhythm,UNI1004,"House, Techno",January 2018,6,3.9,"There's an intriguing divide between Marcellus Pittman as a DJ and a producer. He meticulously mixes vinyl when he plays out and makes little-known cuts like Lood's ""Shout-N-Out"" and Terrence T's ""Power"" feel like classics. In the studio, he's a different beast—the soul is there, but it's overridden by gnarled machine funk. Late last year, Pittman revealed his first solo material in three years, a pair of 12-inches for his Unirhythm label. The first to hit stores, Revenge For Nothing / Red Dogon Star, contains two of his most out-there tracks to date.
 ""Revenge For Nothing"" is a brutalist minimal jack track centered around a relentless one-note bassline and a jackhammering snare. Sounding like something you'd find on a dusty DAT belonging to a Chicago OG, a rough comparison would be the unhinged acid tracks Adonis made with James ""Jack Rabbit"" Martin. The B-side, ""Red Dogon Star,"" is the highlight, a great example of the dream logic that sets Pittman's tracks apart. Some classic house elements—organ stabs, lush strings—are present but the pieces refuse to fall into place, making the final product banging yet misshapen. This feeling is compounded by an equally bizarre melodic hook. Pittman does a call and response with two basslines, as one thrums through delay and the other divebombs. The track ends unceremoniously, like the power went out in the midst of Pittman's oddball jam.",https://www.residentadvisor.net/reviews/22117
K2 AKA Kero & Kyle Hall - Zug Tools,Detroit Underground,DU33,Techno,January 2018,Post a comment,3.8,"With its scorched-black land and smoggy sky, Detroit's infamous Zug Island looks like something out of dystopian fiction. Skirting Michigan's most polluted zip code and the decaying neighbourhood of Delray, Zug Island has housed steel refineries since the beginning of the 20th century, and is one of the last remaining coke producers—that's the fuel—in the US today. Strictly off-limits to the public and heavily guarded, it's a site of mystery and revile, complete with an elusive low-frequency rumble dubbed the ""Windsor Hum,"" which has plagued Ontario residents on the opposite riverbank for years.  In 2012, Kero and Kyle Hall produced a record about Zug Island. Written in studios on either side of Detroit's River Rouge, it translated the site's toxicity and strange allure to sound through guttural acid synth lines and clattering rhythms. Now there's Zug Tools, a gloopy acid tool package that is just as good. A low-end throb permeates ""FASTR000,"" which could be a nod to the ""Windsor Hum,"" with dark acid swells that bubble to the surface. ""19FT,"" on the B-side, drools with frothy venom. Both tracks continue one of the finest collaborations to emerge from Detroit in recent years.",https://www.residentadvisor.net/reviews/22114
Missing Channel ‎- Remix,FJAAK,FJAAK002,Techno,February 2018,8,3.4,"By remixing a classic track from Robert Hood and Claude Young, the German trio FJAAK have chosen an audacious way to reboot their label. Then again, ""classic"" is a relative term here. The Missing Channel project is a fine relic of early '90s techno, but it's far from Hood or Young's best-known work. Remastered and remixed here, ""Onslaught"" came out in 1991 as the first release on Hood's Hardwax label. It's a rave-up that collapses breakbeat hardcore with high-octane elements—hoovers, crowd noises and a rowdy energy—of American techno. But even in this remastered version, ""Onslaught"" shows its age by sounding muddy—it might stick out like a fly on a wedding cake if played sets today.
 That's what FJAAK's remix is for. The group add a fat kick drum then layer and loop other parts so the slamming breakbeat becomes bouncy. They craft a modern warehouse techno track with a vintage heart, which makes their version of ""Onslaught"" more compatible with contemporary dance floors.",https://www.residentadvisor.net/reviews/22118
Jayda G / Alexa Dash - Diva Bitch,Freakout Cult,CULT08,House,January 2018,1,3.6,"Jayda G and DJ Fett Burger's Freakout Cult is a base for joyful house music from producers who are relatively new to the label's listeners. The lilting breeze of last year's Monroe Bumpa / 186 Halin' left people intrigued about Laylay, Jayda G's collaborator on the EP. Listeners should be as equally curious about her latest musical partner, Alexa Dash, who collaborates on Diva Bitch. Dash's power vocals featured on 2016's Jaydaisms, but she didn't give the proper introduction we get here: ""Good evening, my name's Alexa Dash,"" she states with a deadpan voice on Diva Bitch's title track.
 The title version moves like someone strutting through a smoky bar. Dash's monologue on confidence and independence is paired with the jazzy flair of quiet bass notes and sultry piano. Written by her and Jayda, the lyrics are there to make dancers feel good as they step to the beat: ""I'm all kinds of beautiful / Yes I shine."" The ""Jayda G Get Down On Ur Knees Mix"" lit up Dekmantel during her Boiler Room set last year with its infectious hook, so it's great to see it get an official release. The ""Acappella Version"" invites DJs to create a new track of their own with Dash's husky voice.",https://www.residentadvisor.net/reviews/22154
Mariel Ito - 2e Komst,Lone Romantic,LR002,Electro,January 2018,2,3.6,"Electro might be in the midst of a revival, but Eric Estornel is no fair-weather fan. The man otherwise known as Maceo Plex was making electro as Mariel Ito as far back as 2004, putting out records on labels like Modern Love and Connaisseur Recordings. His label Lone Romantic is even named after one of those earlier tracks. Estornel is looking back at Mariel Ito with an upcoming retrospective for R&S, but before that there's this EP of new material.
 ""Sintex49"" and ""Dmode90,"" right down to their jargon titles, are electro through-and-through, made by someone who knows their way around the genre. ""Sintex49"" has a sci-fi atmosphere, glitchy robot voices and gleefully broken drum patterns, and with its sighing synths and gurgling bassline ""Dmode90"" sounds like a track from a pupil of the Convextion and Gerald Donald school. But there's something a little different about Estornel's latest creations, with extra reverb on the drums making these tracks feel more suited to big rooms than most electro.",https://www.residentadvisor.net/reviews/22105
DJ Koze - Seeing Aliens,Pampa,PAMPA030,"House, Tech House",January 2018,2,4.0,"DJ Koze might be the most adventurous big-room DJ out there, a trait also heard in his productions. There's no better recent example than ""Seeing Aliens (Extended Breakthrough Listen),"" the central track on his latest EP. With deranged squeals that sound like Stephan Bodzin's snake-charming Moog melodies heating in a microwave, it's a tune that could either clear the dance floor or elicit tears of joy. First there's the glitches, grating whirs and bleeps that would stop a party in its tracks as they overtake the room. They are paired with a kick drum that barely keeps pace as the mess of synths going haywire swamps the mix. But then a bright piano riff emerges through the bleepscape, sending sunshine beaming in as the glitches fade. It's a combination few artists would attempt, yet in Koze's hands it's magic.
 ""Nein König Nein"" is more conventional. A house track with the dusty feel of '90s hip-hop, it treads the warm terrain of Koze hits like ""Track ID Anyone?"" and ""Blume Der Nacht."" With strings, a shuffling beat and what sounds like a sitar, the seven-minute tune is a safer options for DJs, but it won't provoke the intense reactions the A-side will likely trigger. If the rest of Knock Knock, Koze's forthcoming album, is as strong as these two tracks, we may have another classic on our hands.",https://www.residentadvisor.net/reviews/22206
Yoshinori Hayashi - Uncountable Set,Disco Halal,DH012,"Disco, Experimental",January 2018,1,3.8,"It's rare to come across a genuinely baffling record, but a dip into Yoshinori Hayashi's catalogue will skew the statistics. The Tokyo producer doesn't trade in unfamiliar sounds, exactly—it's more that he scrambles the logic of the familiar, twisting orderly forms into head-spinning nightmares. The average Hayashi track might be anarchic sample-collage, ramshackle synthesis or a multi-tracked ensemble of live musicians—it's hard to tell. Maybe you're actually hearing several pieces of music, squeezed into a cramped space and left to get on with it.  Hayashi's ideas often sound like dodgy reconstructions of a half-forgotten dance music canon. The feeling is particularly pronounced on his latest EP, for Disco Halal, which follows dazzling meltdowns on Going Good and Lovers Rock, and mimics the feeling of plunging through a kitschy Discogs wormhole. ""Palanquin Bearing Monkey"" could be bubbly proto-house meets heat-warped jazz fusion, the two layers rutting over a chuntering piano bassline ferried in from South America. Every now and then, a chipmunk voice—Hayashi himself?—sings a few mournful lines.
 On ""Stepping On Dewdrops"" taut post-punk disco meets the clammy organs of a B-movie horror soundtrack. The track's forest of percussion gets thicker until a cellist appears in the undergrowth, mad-eyed, mumbling and scratching out a house-of-horrors melody. ""Pneuma"" extends to an epic, disorientating nine minutes. It's both the funkiest track here—check the walk-the-dog jazz bassline—and the most forbidding, its disco beat weaving sharklike through a reverberant ocean of discordant orchestral sounds. From there we ditch out into the sparser ""Chember,"" where keening wordless vocals are layered in ever-denser loops. It's the EP's only half-predictable moment, and thus its weakest.",https://www.residentadvisor.net/reviews/22120
Various - ÆX005,ÆX,AX005,Techno,January 2018,Post a comment,3.6,"Last year Maarten Mittendorff and Jasper Wolff launched ÆX, a compilation subsidiary to their main label, Indigo Aera. ÆX has so far mostly released music by friends from Amsterdam, the city where Mittendorff and Wolff are based. Several artists have made repeat outings on the label, and this is Kaap and 543FF's third ÆX appearance. Both label owners with a bit more production mileage behind them, Rotterdam's Ben Buitendijk and the Mistress affiliate Daniel Jacques are the new signees.
 With one exception—""Novum""—dreamy, dubbed-out techno is the prevailing sound on ÆX005. Buitendijk's slide here into tougher terrain is a welcomed one, and the spangled note that corkscrews through the middle adds a trippy undertone to this driving floor-filler. ""Behind The Dark, There Shall Be Light"" from Jacques uses drowsy, detuned synths to create a thick haze, which breaks down in a maelstrom of frantic arpeggios and thunder—a neat reset. 543FF ends on a cooler dub techno tip with scintillating hats and frosty details that leave you tingling.",https://www.residentadvisor.net/reviews/22113
Robert Hood - Paradygm Shift Volume 3,Dekmantel,DKMNTL055,Techno,February 2018,32,3.0,"Robert Hood's Paradygm Shift promised both a return to the Detroit pioneer's minimal roots and a future-facing search for electronic music's ""new mindset."" So far the project hasn't quite been either. Its slick techno productions lack the DIY dynamism of Hood's classic tracks, but don't offer anything fresh. Instead they slot neatly into a big-room techno space that has already been recycling Hood's sound for two decades. Dance music owes an enormous debt to the man—there's not much in Paradygm Shift that will change the balance sheet one way or the other.
 These two tracks, which conclude the Paradygm Shift EP trilogy started in 2016 (there was an album in between), are more of the same. They're not bad—from a technical standpoint they're effortlessly proficient—but they won't satisfy diehard Hood fans looking to rekindle an old flame, nor current club kids seeking a rush of the new. Above all the choice of sounds might grate on ears attuned to modern clichés. ""Red Machine""'s white noise swirls, synth pedal drone and minor-key pads, building to a series of Epic™ climaxes, push well-worn buttons. The subtler ""Transform"" shifts down a couple of gears, building tension over a shoulder-swaying five-odd minutes of chord spume and precision groove.",https://www.residentadvisor.net/reviews/22133
Detboi - Ice Cold,Metalheadz,METHPLA26,Drum & Bass,February 2018,1,3.8,"Tinkling piano is not something I expected to hear on the follow-up to last year's most punishing drum & bass record, but here we are. ""Blood Drops"" opens Ice Cold with a hybrid of liquid funk and Des McGouran's steely, no-nonsense pummelling. With snatches of melody—laced with dub effects, of course—lush reverb and an epic scale, it lives up to anything on Secrets.
 They are are big shoes to fill, and to his credit, McGouran almost outdoes himself on the two other slabs of mayhem. ""Darkness,"" with nimble drum programming and a trippy bassline that ghosts across the stereo spectrum, is the standout, while ""Ice Cold Blood On The Drums"" is pure techstep worship. But where McGouran's best tracks feel unpredictable, its over-the-top speech samples make it feel slightly dated. Like Secrets, Ice Cold comes with two digital bonus tracks, this time at Detboi's old stomping ground of around 130 BPM. You should check them out for ""Beast"" and its jack-hammering breakbeat, which sounds like a CD skipping during a brutal drum & bass track.",https://www.residentadvisor.net/reviews/22108
Russell Haswell - Respondent,Diagonal Records,DIAG043,"Techno, Experimental",February 2018,10,3.8,"Russell Haswell only yielded to the tyranny of the drumbeat a few years back. 2014's 37 Minute Workout and 2015's As Sure As Night Follows Day, both for Diagonal, were sprawling and exploratory, as if he was mapping out the techno space one white noise shriek at a time. By comparison, his latest EP for the label is short and sharp, and arranged almost like a conventional dance record. There are a couple of straighter club tracks, some tricksy interludes and an extended vocal number to round things off.  Only, this being Haswell, the club bangers are strange. The convulsive ""First In Man (Williams Mix)"" and the slamming ""Let Suffering Become You"" are awkwardly minimal accretions of blunt drums and raw-concrete synths. The latter track opens with a sample of Jonathan Guinness, 3rd Baron Moyne, complaining that punk fans ""would really like to be back in those days when they could actually see physical people hacking each other to death.""  The not-quite-dance interludes aren't moments of downtime but a cold slap to the face. The latter of the two, the rhythmic noise rager ""Worsening Daily,"" is the EP's screwface moment. The vocal track is completely bizarre, a ten-minute string of spiky rhythms over which Sue Tompkins, once of the indie band Life Without Buildings, improvises yelps and whoops and sing-song non sequiturs. (""But I never thought… Luxury? Let it pick you up!"") It's a deeply unsettling duet, which I guess is exactly how Haswell intended it.",https://www.residentadvisor.net/reviews/22125
The Panacea - Above The Absolute,Sonic Groove,SGD1882,Techno,January 2018,Post a comment,3.6,"Mathis Mootz brought a new level of intensity to late '90s drum & bass with tracks that helped lay the blueprint for breakcore. His musical vision encompassed everything hard and heavy, and his most recent work as The Panacea combines EDM, hardcore techno, gabber and breakcore as a noxious brew. Adam X, who never shies away from rowdy dance music, has tapped Mootz for his first-ever techno EP. The results are predictably weighty and surprisingly dynamic.
 Each side of Above The Absolute takes a different approach. The A-side highlights Mootz's hardcore and drum & bass influences, particularly with the brutal title track, which grinds, saws and writhes its way around the booming kick drum. Listen carefully, and you can hear breaks buried inside. Those latent influences surface on ""Most Basic Resolution,"" which is programmed like modern techno but built with the craggy materials of modern hardcore and drum & bass. The B-side is more in line with peak-time at European techno clubs. ""Overdrive EE"" has all the nasty elements of its predecessors but keeps the noise at bay, while ""Walter"" is almost funky.",https://www.residentadvisor.net/reviews/22112
Charlotte De Witte - Brussels EP,novamute,12NOMU181,Techno,December 2017,2,3.4,"A few years ago Charlotte De Witte shed her Raving George moniker to release and perform under her own name, and she's been gaining traction ever since. She admits that she considers herself more of a DJ than a producer, having spent the last eight years doing the former. A functional, dance floor-first mentality colours her tracks, which have been picked up by Turbo, Sleaze and Mary Go Wild. ""Less is more"" is De Witte's mantra, and her stripped-back approach, when embellished with the right details, has proven fruitful. The Belgian artist's first record of 2018 lands on the newly revived NovaMute following EPs from Nicolas Bougaïeff and Terence Fixmer.  ""Brussels"" and ""Look Around You"" have strong vocal lines. The listless repetition of ""gone"" in ""Brussels"" complements De Witte's ominous pads. In this case, the vocals amplify the mood of the track, a big-room hit. They distract and fatigue on ""Look Around You,"" where the message is schmaltzy and the repetition becomes wearisome. The tough and driving ""Control"" is the best of the three, with a heavily treated vocal grumbling incomprehensibly though the centre. It's a more adventurous hook, but vocals are starting to feel like a crutch in De Witte's tracks. It would be great to hear what she can do without them.",https://www.residentadvisor.net/reviews/22115
Fantastic Man pres. P.M.T.C. ‎- P.M.T.C.,Superconscious Records,SCR010,"Techno, Trance",December 2017,3,3.5,"Fantastic Man, AKA Mic Newman, has dared to reinvent himself a few times in his relatively short career. For his latest project, Newman adopts a new moniker, P.M.T.C., and shifts away from the disco-influenced house productions that launched his career, and the tribal and acid excursions that followed
 For this self-titled record on Superconscious Records, the label he co-runs with Francis Inferno Orchestra, Newman nods to early trance and Detroit techno. ""Reality Change"" feels inspired by the Mike Banks project The Martian. A dubbed-out intro leads into a driving rhythm, as chords continually rise without quite reaching a climax, which is perhaps the point. It's both hypnotic and dreamy. The same goes for the EP's second track, ""Cool Waters,"" where the bassline rolls and subtle whistles and synths push things along. It reaches a peak—of sorts—with an R&B-esque vocal sample, then another cut-up vocal that carries the tune to a conclusion that clatters into the void. As P.M.T.C. Newman is eager to explore new sounds, and while this EP is not quite thrilling, it's a promising start.",https://www.residentadvisor.net/reviews/22107
Yung Acid - Thug Mansions,New York Haunted,NYH132,"Techno, Grime",January 2018,3,3.9,"Yung Acid are a young Russian duo on the rise. Besides running their own label, Get Busy!, and organising parties between their hometowns of Kazan and Moscow, they've featured on a number of cassette compilations, including U S S R (Ur Social Status Resistance), a compilation of Russian and Ukrainian experimental dance music curated by Opal Tapes. Their sound is a cantankerous yet infectious mix of techno, acid and grime that Drvg Cvltvre debuted on his New York Haunted label in 2016. Now they’re back with an album’s worth of mutant bangers.
 Some tracks—""RA​-​8PM,"" ""Isrl""—sound like Hessle Audio meets Broken English Club on a dark and stormy night, while others tinker with electro, dubstep and breaks. In each case there's an unexpected mashup going on, and the results are both freakish and tremendous. Take ""So Fresh,"" which manages to turn a cacophony of dogs and car alarms—or so it seems—into a dark, gyrating number that would set the right floor alight. Thug Mansions is a rip-roaring first opus from a club act destined for big things.",https://www.residentadvisor.net/reviews/22110
James Blake - If The Car Beside You Moves Ahead,Polydor,N/A,"Pop, Experimental",January 2018,23,4.4,"Whether he's singing an otherworldly torch song or sending his voice through filters, James Blake has a way of stopping people in their tracks. He's gained a fan base that ranges from underground dance heads to rock kids to Beyoncé. On his latest song, ""If The Car Beside You Moves Ahead,"" Blake's voice is back at the forefront. It stutters and loops like an old chopped-and-screwed mixtape, a return to the psychedelic manipulation of Blake's early dance floor records. The production, which cleaves most words in half, is both riveting and vaguely frustrating—the distorted syllables force you to listen closely to decipher the lyrics, lending the track urgency. There's also something menacing about it, especially the helium-voiced chorus where Blake sings, ""If the car beside you moves ahead / As much as it might feel as though you're dead / You're not going backwards.""
 Blake backs himself up with a plangent instrumental that sounds like a melting jazz ensemble. A gooey bassline pools underneath the chorus before making way for a spoken-word verse. Even then it's not easy to understand the lyrics, but like much of Blake's music the meaning is in the feeling—not only the words. ""If The Car Beside You Moves Ahead"" plays to his strengths, combining his soulful voice, cosmic production and haunting hooks until you can't hear where one ends and the other begins.",https://www.residentadvisor.net/reviews/22116
TSVI - Rambo,Nervous Horizon,NH007,"Techno, UK Funky",January 2018,Post a comment,3.9,"TSVI stripped his last release for Nervous Horizon down to the drums. The London-based producer retooled UK funky with percussion from around the globe, hitting a dazzlingly effective formula. His latest EP is a natural continuation. Fusing fractured drums that reference gqom or kuduro and melodies that nod to grime, its best tracks are precise, unfussy and lethal. ""Pull Up"" and ""Roller"" perform a similar trick, ramping up the tension with dramatic breakdowns before dropping into a drum track. It's unusual but dynamic, making the drums' agility—not the weight of the kick—the main attraction. ""Funky T"" pairs tricky rhythms with a bass tone so deep it sounds like the speakers have blown. Though each cut is aimed at peak-time, they slink and sway as much as they bang.
 Of the collaborations, ""Xus Lord"" with DJ JM, the Lithuanian producer fresh from an impressive debut EP, is closest to TSVI's solo sound. Luru turns ""Pull Up"" into a grime blockbuster, all lurching bass and gleaming melodies, while Wallwork, who helped TSVI cook up 2016's incendiary ""Facts,"" steals the show. Over loping metallic drums, ""Jaguar"" ducks and weaves towards an unhinged finale that's equal parts noise and trance.",https://www.residentadvisor.net/reviews/22093
Azimute ‎- The Secret,Cocoon Recordings,COR12148,"Minimal, House, Techno",January 2018,1,3.5,"For the first time in a while, Cocoon has enjoyed some prerelease hype. This is thanks to Cristi Cons' 11-minute remix that sits on the B-side of its latest release, Azimute's The Secret. As one half of SIT, Cons has produced his share of slinky club weapons, most involving catchy basslines and tumbling grooves. He brings his jazzy touch to a label more accustomed to big-room sounds. The remix racked up more than 30,000 plays on YouTube before its release, which can likely be put down to a few things: a killer bassline, multiple appearances at the last Sunwaves festival and plenty of club play by top-flight Romanian DJs. It's a fairly standard SIT-style roller but with the rare addition of vocals—in other words, the kind of minimal that gets people talking if played by the right DJs.
 The EP's other tracks aim for different moods. The original version of ""The Secret"" is the least original option, with white noise, reverb and what sounds like a triangle. Its piano-house-meets-tech-house sound gets grating as it builds towards the climax, which fails to find a sweet spot between seemingly incompatible elements. Quenum & Cesare Vs Disorder's remix is deeper, with a focus on bass. It builds from a stuttering pulse to a slick percussive banger, hitting the groove that the original couldn't. The Secret was a hit before it reached stores, so let's see if the impact matches the hype.",https://www.residentadvisor.net/reviews/22147
Jorge Gamarra - Introversión,Trichome,TCM001,"Techno, Electro",December 2017,3,4.0,"Jorge Gamarra is among the Uruguayan artists bridging the gap between their home country and Europe. Operating out of Barcelona, he runs the standout Sur label with the Berlin-based Argentinian Gulp. There's no solid information about Trichome, the label behind Introversión, but one can gather Gamarra has something to do with it. It's his most substantial dispatch since SUR001, a late 2016 sleeper hit
 Introversión is substantially odder, and Gamarra's will to be weird feels natural. He takes risks, especially on ""Ansias."" In the opening passages, he sets up a bittersweet pad bed and builds effortless movement with a weaving bassline. Then the first breakdown swerves toward sensory overload as a matrix of jabbering machines overtake the mix. It's intense enough to turn some away but as the bassline reintroduces the intro's minor key, it all comes together. The title track isn't quite as dazzling, but the bass movements are similarly effortless, supplying interesting rhythmic punctuation and a moody harmony embellished by wispy lead lines.  The B-side is just as strong. ""INTP"" takes a chunkier, electro-leaning route, pairing dry, overheated drums with deep space twinkles and a background pad. ""Vrmdrm,"" perhaps a reference to the Vermona DRM1 drum machine, is the EP's most paranoid tune. Where the other tracks have rays of light, ""Vrmdrm"" goes full space cadet, with wonky bass and splashy drums creating a stomping but inviting groove. Although some of the tracks would have worked without a pad or two, Introversión is perfect tackle for weirding up the dance.",https://www.residentadvisor.net/reviews/22106
Locked Groove - Whistle,Locked Groove Records,LGR004,Techno,January 2018,Post a comment,3.5,"Since his first record, Tim Van De Meutter has been melding genres into a sleek and sparkling modern alloy. He mixes the pomp of prog house with the steely resolve of contemporary techno, leading to gems like ""Rooted"" and appearances on labels like Life And Death and Kompakt. He hasn't had a solo release in three years, so Whistle is a fine comeback.
 ""Whistle"" is up there with Van De Meutter's best tracks. It sounds like an update of an old BT tune, pumping and proggy with a wiry bassline. Throw in the spasms of dubbed-out chords and taut rhythms and you've got something that brings a touch of the '90s trance label Perfecto to a 2018 dance floor. ""Birds Of Prey"" isn't as fetching, but it's a solid tool, putting a bright spin on warehouse techno without getting too flashy. These tracks could signal a more mature and well-oiled Locked Groove sound, which would make his return all the more welcome.",https://www.residentadvisor.net/reviews/22104
